THE,69973,Dx,TI,5
OF,36443,^v,IF,6
AND,29060,@nd,ILS,4
TO,26189,tu,tr,8
A,23313,^,I,4
IN,21335,In,IL,8
THAT,10593,D@t,TIt,5
IS,10108,Iz,It,14
WAS,9816,w^z,wIt,11
HE,9547,hi,KI,11
FOR,9490,fcr,Fcr,2
IT,8768,It,It,14
WITH,7289,wIT,wIT,1
AS,7251,@z,It,14
HIS,6994,hIz,KIt,33
ON,6743,cn,cL,2
BE,6376,bi,BI,9
AT,5372,@t,It,14
BY,5305,bA,BI,9
I,5191,A,I,4
THIS,5145,DIs,TIt,5
HAD,5134,h@d,KIS,27
NOT,4610,nat,Lct,5
ARE,4394,ar,cr,2
BUT,4381,b^t,BIt,44
FROM,4371,fr^m,FrIB,2
OR,4221,cr,cr,2
HAVE,3942,h@v,KIF,13
AN,3739,@n,IL,8
THEY,3624,De,TI,5
WHICH,3560,wIC,wIS,9
ONE,3297,w^n,wIL,11
YOU,3287,yu,Kr,10
WERE,3286,wR,wr,3
HER,3036,hR,Kr,10
ALL,3017,cl,cL,2
SHE,2860,Si,SI,8
THERE,2728,DEr,TIr,1
WOULD,2715,wUd,wrS,3
THEIR,2668,DEr,TIr,1
WE,2652,wi,wI,3
HIM,2625,hIm,KIB,30
BEEN,2472,bIn,BIL,33
HAS,2436,h@z,KIt,33
WHEN,2333,wEn,wIL,11
WHO,2252,hu,Kr,10
WILL,2245,wIl,wIL,11
MORE,2214,mcr,Bcr,6
IF,2197,If,IF,6
NO,2143,no,Lr,4
OUT,2114,Wt,Wt,1
SO,1985,so,tr,8
SAID,1962,sEd,tIS,17
WHAT,1908,w^t,wIt,11
UP,1890,^p,IB,9
ITS,1858,Its,Itt,7
ABOUT,1814,x-'bWt,I-'BWt,1
THAN,1790,D@n,TIL,5
INTO,1789,'In-tu,'IL-tr,5
THEM,1828,DEm,TIB,3
J,24,Je,SI,8
CAN,1771,k@n,KIL,31
ONLY,1748,'on-li,'rL-LI,1
OTHER,1701,'^-DR,'I-Tr,3
NEW,1635,nu,Lr,4
SOME,1618,s^m,tIB,22
COULD,1601,kUd,KrS,13
TIME,1604,tAm,tIB,22
THESE,1573,Diz,TIt,5
TWO,1412,tu,tr,8
MAY,1401,me,BI,9
THEN,1379,DEn,TIL,5
DO,1363,du,Sr,9
FIRST,1373,fRst,Frtt,5
ANY,1344,'E-ni,'I-LI,4
MY,1318,mA,BI,9
NOW,1314,nW,LW,2
SUCH,1303,s^C,tIS,17
LIKE,1292,lAk,LIK,17
OUR,1252,'W-R,'W-r,1
OVER,1239,'o-vR,'r-Fr,1
MAN,1224,m@n,BIL,33
ME,1181,mi,BI,9
