THE,69973,Dx,TI,5,0
OF,36443,^v,IF,6,0
AND,29060,@nd,ILS,4,0
TO,26189,tu,tr,8,0
A,23313,^,I,4,0
IN,21335,In,IL,8,0
THAT,10593,D@t,TIt,5,0
IS,10108,Iz,It,14,0
WAS,9816,w^z,wIt,11,0
HE,9547,hi,KI,11,0
FOR,9490,fcr,Fcr,2,0
IT,8768,It,It,14,0
WITH,7289,wIT,wIT,1,0
AS,7251,@z,It,14,0
HIS,6994,hIz,KIt,33,0
ON,6743,cn,cL,2,0
BE,6376,bi,BI,9,0
AT,5372,@t,It,14,0
BY,5305,bA,BI,9,0
I,5191,A,I,4,0
THIS,5145,DIs,TIt,5,0
HAD,5134,h@d,KIS,27,0
NOT,4610,nat,Lct,5,0
ARE,4394,ar,cr,2,0
BUT,4381,b^t,BIt,44,0
FROM,4371,fr^m,FrIB,2,0
OR,4221,cr,cr,2,0
HAVE,3942,h@v,KIF,13,0
AN,3739,@n,IL,8,0
THEY,3624,De,TI,5,0
WHICH,3560,wIC,wIS,9,0
ONE,3297,w^n,wIL,11,0
YOU,3287,yu,Kr,10,0
WERE,3286,wR,wr,3,0
HER,3036,hR,Kr,10,0
ALL,3017,cl,cL,2,0
SHE,2860,Si,SI,8,0
THERE,2728,DEr,TIr,1,0
WOULD,2715,wUd,wrS,3,0
THEIR,2668,DEr,TIr,1,0
WE,2652,wi,wI,3,0
HIM,2625,hIm,KIB,30,0
BEEN,2472,bIn,BIL,33,0
HAS,2436,h@z,KIt,33,0
WHEN,2333,wEn,wIL,11,0
WHO,2252,hu,Kr,10,0
WILL,2245,wIl,wIL,11,0
MORE,2214,mcr,Bcr,6,0
IF,2197,If,IF,6,0
NO,2143,no,Lr,4,0
OUT,2114,Wt,Wt,1,0
SO,1985,so,tr,8,0
SAID,1962,sEd,tIS,17,0
WHAT,1908,w^t,wIt,11,0
UP,1890,^p,IB,9,0
ITS,1858,Its,Itt,7,0
ABOUT,1814,x-'bWt,I-'BWt,1,1
THAN,1790,D@n,TIL,5,0
INTO,1789,'In-tu,'IL-tr,5,1
THEM,1828,DEm,TIB,3,0
J,24,Je,SI,8,0
CAN,1771,k@n,KIL,31,0
ONLY,1748,'on-li,'rL-LI,1,1
OTHER,1701,'^-DR,'I-Tr,3,1
NEW,1635,nu,Lr,4,0
SOME,1618,s^m,tIB,22,0
COULD,1601,kUd,KrS,13,0
TIME,1604,tAm,tIB,22,0
THESE,1573,Diz,TIt,5,0
TWO,1412,tu,tr,8,0
MAY,1401,me,BI,9,0
THEN,1379,DEn,TIL,5,0
DO,1363,du,Sr,9,0
FIRST,1373,fRst,Frtt,5,0
ANY,1344,'E-ni,'I-LI,4,1
MY,1318,mA,BI,9,0
NOW,1314,nW,LW,2,0
SUCH,1303,s^C,tIS,17,0
LIKE,1292,lAk,LIK,17,0
OUR,1252,'W-R,'W-r,1,1
OVER,1239,'o-vR,'r-Fr,1,1
MAN,1224,m@n,BIL,33,0
ME,1181,mi,BI,9,0
EVEN,1169,'i-vxn,'I-FIL,4,1
MOST,1159,most,Brtt,9,0
MADE,1125,med,BIS,33,0
ALSO,1069,'cl-so,'cL-tr,3,1
AFTER,1069,'@f-tR,'IF-tr,1,1
DID,1044,dId,SIS,22,0
MANY,1032,'mE-ni,'BI-LI,12,1
F,1094,Ef,IF,6,0
BEFORE,1015,bx-'fcr,BI-'Fcr,1,1
MUST,1012,m^st,BItt,27,0
THROUGH,987,Tru,Trr,2,0
BACK,966,b@k,BIK,31,0
YEARS,953,yirz,KIrt,5,0
MUCH,937,m^C,BIS,33,0
WHERE,937,wEr,wIr,2,0
YOUR,923,yUr,Krr,5,0
WAY,908,we,wI,3,0
WELL,931,wEl,wIL,11,0
DOWN,900,dWn,SWL,1,0
SHOULD,888,SUd,SrS,8,0
BECAUSE,883,bx-'kcz,BI-'Kct,1,1
EACH,878,iC,IS,12,0
JUST,872,J^st,SItt,10,0
THOSE,850,Doz,Trt,1,0
PEOPLE,847,'pi-pxl,'BI-BIL,12,1
HOW,834,hW,KW,3,0
TOO,834,tu,tr,8,0
LITTLE,831,'lI-dxl,'LI-SIL,10,1
STATE,834,stet,ttIt,2,0
GOOD,805,gUd,KrS,13,0
VERY,796,'vEr-i,'FIr-I,3,1
MAKE,794,mek,BIK,31,0
WORLD,799,wRld,wrLS,3,0
STILL,782,stIl,ttIL,7,0
OWN,772,on,rL,4,0
SEE,772,si,tI,5,0
MEN,763,mEn,BIL,33,0
WORK,762,wRk,wrK,2,0
LONG,806,lcG,LcK,4,0
HERE,750,hir,KIr,5,0
GET,749,gEt,KIt,33,0
BOTH,731,boT,BrT,4,0
BETWEEN,730,bx-'twin,BI-'twIL,1,1
LIFE,715,lAf,LIF,11,0
BEING,711,'bi-IG,'BI-IK,3,1
UNDER,710,'^n-dR,'IL-Sr,3,1
NEVER,697,'nE-vR,'LI-Fr,5,1
DAY,698,de,SI,8,0
SAME,686,sem,tIB,22,0
ANOTHER,684,x-'n^-DR,I-'LI-Tr,1,2
KNOW,683,no,Lr,4,0
WHILE,680,'wA-xl,'wI-IL,1,1
LAST,676,l@st,LItt,11,0
MIGHT,672,mAt,BIt,44,0
US,671,^s,It,14,0
GREAT,665,gret,KrIt,15,0
OLD,673,old,rLS,4,0
YEAR,700,yir,KIr,5,0
OFF,639,cf,cF,1,0
COME,634,k^m,KIB,30,0
SINCE,628,sIns,tILt,24,0
AGAINST,627,x-'gEnst,I-'KILtt,1,1
GO,626,go,Kr,10,0
CAME,622,kem,KIB,30,0
RIGHT,613,rAt,rIt,13,0
USED,611,yuzd,KrtS,2,0
THREE,610,Tri,TrI,1,0
TAKE,610,tek,tIK,22,0
HIMSELF,603,hIm-'sElf,KIB-'tILF,1,1
STATES,603,stets,ttItt,2,0
FEW,601,fyu,FKr,2,0
HOUSE,591,hWs,KWt,4,0
USE,591,yus,Krt,16,0
DURING,588,'dUr-IG,'Srr-IK,1,1
WITHOUT,583,wIT-'Wt,wIT-'Wt,1,1
AGAIN,577,x-'gEn,I-'KIL,2,1
PLACE,579,ples,BLIt,13,0
AMERICAN,572,x-'mEr-x-kxn,I-'BIr-I-KIL,1,3
AROUND,562,x-'rWnd,I-'rWLS,1,1
HOWEVER,552,.hW-'E-vR,.KW-'I-Fr,1,2
HOME,547,hom,KrB,9,0
SMALL,548,smcl,tBcL,3,0
FOUND,536,fAnd,FILS,13,0
MRS.,534,'mI-sxz,'BI-tIt,9,1
1,4274,w^n,wIL,11,0
THOUGHT,517,Tct,Tct,1,0
WENT,508,wEnt,wILt,15,0
SAY,504,se,tI,5,0
PART,504,part,Bcrt,11,0
ONCE,499,w^ns,wILt,15,0
HIGH,507,hA,KI,11,0
GENERAL,520,'JE-nx-rxl,'SI-LI-rIL,1,2
UPON,495,x-'pcn,I-'BcL,2,1
SCHOOL,499,skul,tKrL,2,0
EVERY,491,'Ev-ri,'IF-rI,1,1
DON'T,489,dont,SrLt,7,0
DOES,485,d^z,SIt,26,0
GOT,487,gat,Kct,9,0
UNITED,482,yU-'nA-dxd,Kr-'LI-SIS,1,2
LEFT,480,lEft,LIFt,9,0
NUMBER,535,'n^m-bR,'LIB-Br,3,1
COURSE,465,kcrs,Kcrt,9,0
WAR,464,wcr,wcr,1,0
UNTIL,462,^n-'tIl,IL-'tIL,3,1
ALWAYS,458,'cl-wiz,'cL-wIt,1,1
AWAY,456,x-'we,I-'wI,1,1
FACT,447,f@kt,FIKt,7,0
2,2110,tu,tr,8,0
WATER,445,'wa-dR,'wc-Sr,2,1
THOUGH,440,Do,Tr,2,0
PUT,438,pUt,Brt,14,0
PUBLIC,449,'p^-blxk,'BI-BLIK,1,1
LESS,437,lEs,LIt,24,0
THINK,433,TIGk,TIKK,2,0
ALMOST,432,'cl-.most,'cL-.Brtt,1,1
HAND,431,h@nd,KILS,17,0
ENOUGH,431,x-'n^f,I-'LIF,2,1
FAR,426,far,Fcr,2,0
TOOK,426,tUk,trK,5,0
HEAD,424,hEd,KIS,27,0
YET,419,yEt,KIt,33,0
GOVERNMENT,418,'g^-vRn-mEnt,'KI-FrL-BILt,1,2
SYSTEM,416,'sI-stxm,'tI-ttIB,1,1
BETTER,414,'bE-dR,'BI-Sr,17,1
SET,414,sEt,tIt,20,0
TOLD,413,told,trLS,5,0
NIGHT,411,nAt,LIt,24,0
NOTHING,415,'n^-TIG,'LI-TIK,1,1
END,409,End,ILS,4,0
WHY,404,wA,wI,3,0
EYES,401,Az,It,14,0
CALLED,401,kcld,KcLS,5,0
DIDN'T,401,'dI-dxnt,'SI-SILt,1,1
FIND,400,fAnd,FILS,13,0
LOOK,399,lUk,LrK,3,0
GOING,424,'go-IG,'Kr-IK,1,1
ASKED,398,@skt,ItKt,2,0
LATER,397,'le-dR,'LI-Sr,10,1
KNEW,395,nu,Lr,4,0
POINT,496,pOnt,BrLt,13,0
NEXT,394,nEkst,LIKtt,1,0
CITY,393,'sI-di,'tI-SI,5,1
BUSINESS,393,'bIz-nxs,'BIt-LIt,1,1
PROGRAM,393,'pro-gr@m,'Brr-KrIB,1,1
GROUP,390,grup,KrrB,5,0
GIVE,389,gIv,KIF,13,0
TOWARD,386,tcrd,tcrS,3,0
YOUNG,385,y^G,KIK,21,0
DAYS,384,dez,SIt,26,0
ROOM,387,rum,rrB,4,0
LET,383,lEt,LIt,24,0
PRESIDENT,387,'prE-zx-dEnt,'BrI-tI-SILt,3,2
SIDE,381,sAd,tIS,17,0
SOCIAL,391,'so-Sxl,'tr-SIL,4,1
SEVERAL,378,'sEv-rxl,'tIF-rIL,2,1
PRESENT,382,'prE-zxnt,'BrI-tILt,6,1
ORDER,376,'cr-dR,'cr-Sr,3,1
GIVEN,376,'gI-vxn,'KI-FIL,11,1
NATIONAL,375,'n@-Sx-nxl,'LI-SI-LIL,1,2
POSSIBLE,374,'pa-sx-bxl,'Bc-tI-BIL,1,2
RATHER,373,'r@-DR,'rI-Tr,1,1
SECOND,382,'sE-kxnd,'tI-KILS,2,1
PER,377,pR,Br,9,0
FACE,375,fes,FIt,16,0
FORM,380,fcrm,FcrB,2,0
IMPORTANT,374,Im-'pcr-txnt,IB-'Bcr-tILt,2,2
OFTEN,369,'c-fxn,'c-FIL,2,1
AMONG,369,x-'m^G,I-'BIK,4,1
THINGS,368,TIGz,TIKt,1,0
LOOKED,367,lUkt,LrKt,3,0
EARLY,366,'R-li,'r-LI,3,1
WHITE,370,wAt,wIt,11,0
CASE,362,kes,KIt,33,0
JOHN,367,Jan,ScL,7,0
LARGE,368,larJ,LcrS,5,0
BIG,360,bIg,BIK,31,0
NEED,360,nid,LIS,17,0
FOUR,360,fcr,Fcr,2,0
WITHIN,359,wIT-'In,wIT-'IL,1,1
BECOME,359,bx-'k^m,BI-'KIB,2,1
FELT,357,fElt,FILt,17,0
CHILDREN,355,'CIl-drxn,'SIL-SrIL,1,1
ALONG,355,x-'lcG,I-'LcK,1,1
SAW,352,sc,tc,2,0
BEST,351,bEst,BItt,27,0
CHURCH,348,CRC,SrS,8,0
EVER,358,'E-vR,'I-Fr,1,1
LEAST,343,list,LItt,11,0
POWER,342,'pW-R,'BW-r,2,1
