THE,69973,Dx,TI,5,0,3.9237
OF,36443,^v,IF,6,0,3.923
AND,29060,@nd,ILS,4,0,3.9232
TO,26189,tu,tr,8,0,3.9235
A,23313,^,I,4,0,3.9234
IN,21335,In,IL,8,0,3.9229
THAT,10593,D@t,TIt,5,0,3.9227
IS,10108,Iz,It,14,0,3.9228
WAS,9816,w^z,wIt,11,0,3.9215
HE,9547,hi,KI,11,0,3.9217
FOR,9490,fcr,Fcr,2,0,3.923
IT,8768,It,It,14,0,3.9231
WITH,7289,wIT,wIT,1,0,3.9218
AS,7251,@z,It,14,0,3.9159
HIS,6994,hIz,KIt,33,0,3.9131
ON,6743,cn,cL,2,0,3.9229
BE,6376,bi,BI,9,0,3.9224
AT,5372,@t,It,14,0,3.9215
BY,5305,bA,BI,9,0,3.914
I,5191,A,I,4,0,3.9229
THIS,5145,DIs,TIt,5,0,3.9223
HAD,5134,h@d,KIS,27,0,3.9151
NOT,4610,nat,Lct,5,0,3.9217
ARE,4394,ar,cr,2,0,3.9224
BUT,4381,b^t,BIt,44,0,3.9217
FROM,4371,fr^m,FrIB,2,0,3.9194
OR,4221,cr,cr,2,0,3.9159
HAVE,3942,h@v,KIF,13,0,3.9224
AN,3739,@n,IL,8,0,3.9183
THEY,3624,De,TI,5,0,3.9208
WHICH,3560,wIC,wIS,9,0,3.8231
ONE,3297,w^n,wIL,11,0,3.9215
YOU,3287,yu,Kr,10,0,3.9233
WERE,3286,wR,wr,3,0,3.9158
HER,3036,hR,Kr,10,0,3.9073
ALL,3017,cl,cL,2,0,3.918
SHE,2860,Si,SI,8,0,3.9099
THERE,2728,DEr,TIr,1,0,3.922
WOULD,2715,wUd,wrS,3,0,3.9175
THEIR,2668,DEr,TIr,1,0,3.8568
WE,2652,wi,wI,3,0,3.9222
HIM,2625,hIm,KIB,30,0,3.9167
BEEN,2472,bIn,BIL,33,0,3.9171
HAS,2436,h@z,KIt,33,0,3.9071
WHEN,2333,wEn,wIL,11,0,3.9198
WHO,2252,hu,Kr,10,0,3.9201
WILL,2245,wIl,wIL,11,0,3.9101
MORE,2214,mcr,Bcr,6,0,3.9126
IF,2197,If,IF,6,0,3.9212
NO,2143,no,Lr,4,0,3.9222
OUT,2114,Wt,Wt,1,0,3.9214
SO,1985,so,tr,8,0,3.9217
SAID,1962,sEd,tIS,17,0,3.9046
WHAT,1908,w^t,wIt,11,0,3.9225
UP,1890,^p,IB,9,0,3.9215
ITS,1858,Its,Itt,7,0,NA
ABOUT,1814,x-'bWt,I-'BWt,1,1,3.9202
THAN,1790,D@n,TIL,5,0,3.8905
INTO,1789,'In-tu,'IL-tr,5,1,3.8964
THEM,1828,DEm,TIB,3,0,3.9118
J,24,Je,SI,8,0,3.0103
CAN,1771,k@n,KIL,31,0,3.9219
ONLY,1748,'on-li,'rL-LI,1,1,3.9095
OTHER,1701,'^-DR,'I-Tr,3,1,3.8887
NEW,1635,nu,Lr,4,0,3.8597
SOME,1618,s^m,tIB,22,0,3.9175
COULD,1601,kUd,KrS,13,0,3.9156
TIME,1604,tAm,tIB,22,0,3.9195
THESE,1573,Diz,TIt,5,0,3.8949
TWO,1412,tu,tr,8,0,3.9013
MAY,1401,me,BI,9,0,3.824
THEN,1379,DEn,TIL,5,0,3.9168
DO,1363,du,Sr,9,0,3.9216
FIRST,1373,fRst,Frtt,5,0,3.8955
ANY,1344,'E-ni,'I-LI,4,1,3.9058
MY,1318,mA,BI,9,0,3.9217
NOW,1314,nW,LW,2,0,3.9217
SUCH,1303,s^C,tIS,17,0,3.7503
LIKE,1292,lAk,LIK,17,0,3.9213
OUR,1252,'W-R,'W-r,1,1,3.9092
OVER,1239,'o-vR,'r-Fr,1,1,3.9123
MAN,1224,m@n,BIL,33,0,3.9061
ME,1181,mi,BI,9,0,3.922
EVEN,1169,'i-vxn,'I-FIL,4,1,3.8994
MOST,1159,most,Brtt,9,0,3.7878
MADE,1125,med,BIS,33,0,3.8717
ALSO,1069,'cl-so,'cL-tr,3,1,3.6782
AFTER,1069,'@f-tR,'IF-tr,1,1,3.8834
DID,1044,dId,SIS,22,0,3.9194
MANY,1032,'mE-ni,'BI-LI,12,1,3.7992
F,1094,Ef,IF,6,0,2.9294
BEFORE,1015,bx-'fcr,BI-'Fcr,1,1,3.8985
MUST,1012,m^st,BItt,27,0,3.8546
THROUGH,987,Tru,Trr,2,0,3.8576
BACK,966,b@k,BIK,31,0,3.9177
YEARS,953,yirz,KIrt,5,0,3.8424
MUCH,937,m^C,BIS,33,0,3.9046
WHERE,937,wEr,wIr,2,0,3.917
YOUR,923,yUr,Krr,5,0,3.9216
WAY,908,we,wI,3,0,3.915
WELL,931,wEl,wIL,11,0,3.911
